source,category,activity,confidence,last_updated,name,intention,first_seen,metadata,tor,rdns_parent,link,org,os,asn,rdns
,activity,,low,2018-07-30T04:49:37Z,SMB_SCANNER_LOW,,2018-07-30T04:49:37Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'', u'org': u'PT TELKOM INDONESIA', u'os': u'', u'asn': u'AS7713', u'rdns': u''}",,,,,,,
36.65.75.118,NO ACTIVITY,,,,,,,,,,,,,,
,worm,,high,2019-06-27T05:19:48Z,ETERNALBLUE,malicious,2019-06-24T05:50:13Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-27T05:19:38Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-26T06:48:09Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-26T01:34:15Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-25T03:22:54Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-25T01:53:05Z,ETERNALBLUE,malicious,2019-06-24T05:50:13Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-24T06:06:20Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-24T06:06:10Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-24T06:06:07Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,activity,,high,2019-06-24T05:50:16Z,SMB_SCANNER_HIGH,,2019-04-08T05:31:03Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-24T02:08:36Z,LOOKS_LIKE_ETERNALBLUE,malicious,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-21T06:35:23Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-21T06:35:13Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-21T06:35:09Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-19T01:33:38Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,activity,,low,2019-06-18T05:35:30Z,SMB_SCANNER_LOW,,2019-05-13T03:49:50Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-13T01:34:45Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-12T08:52:16Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-12T08:25:30Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-12T08:25:17Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-06-11T04:55:13Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-10T05:51:14Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'', u'org': u'', u'os': u'', u'asn': u'', u'rdns': u''}",,,,,,,
,activity,,high,2019-06-10T05:51:04Z,SMB_SCANNER_HIGH,,2019-04-08T05:31:03Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'', u'org': u'', u'os': u'', u'asn': u'', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-10T05:51:01Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'', u'org': u'', u'os': u'', u'asn': u'', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-10T05:30:42Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'', u'org': u'', u'os': u'', u'asn': u'', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-10T05:30:29Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'', u'org': u'', u'os': u'', u'asn': u'', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-10T02:59:42Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'', u'org': u'', u'os': u'', u'asn': u'', u'rdns': u''}",,,,,,,
,activity,,low,2019-06-10T02:59:31Z,SMB_SCANNER_LOW,,2019-05-13T03:49:50Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'', u'org': u'', u'os': u'', u'asn': u'', u'rdns': u''}",,,,,,,
,worm,,high,2019-06-10T02:59:28Z,ETERNAL_MS17_010,malicious,2019-05-17T05:08:47Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'', u'org': u'', u'os': u'', u'asn': u'', u'rdns': u''}",,,,,,,
,worm,,high,2019-05-31T10:34:30Z,EQUATIONGROUP_ETERNAL_MS17_010,malicious,2019-05-17T05:09:00Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
,worm,,low,2019-05-31T10:34:19Z,SMB_SCANNER_HIGH,,2019-05-13T07:23:05Z,"{u'datacenter': u'', u'tor': False, u'rdns_parent': u'', u'link': u'Ethernet or modem', u'org': u'PT TELKOM INDONESIA', u'os': u'Windows 7/8', u'asn': u'AS17974', u'rdns': u''}",,,,,,,
